customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value
CUST00001,Jordanian,Individual,High,46,0.41,Mercedes,G-Class,Mid,2022,V8,Hybrid,Black,221402,2022-10-19,Showroom,4,212545.92,Lease,90466,25,Medium-Moving,0.16,115889,2173,Mixed,2023-01-29,0,1795,55,Under Warranty,3259,6563,329483
CUST00002,Filipino,Corporate,Medium,86,0.36,BMW,X5,Premium,2024,V8,Petrol,Black,337537,2023-10-11,Showroom,1,334161.63,Cash,221782,164,Medium-Moving,0.11,79467,4187,Highway,2025-04-10,8,2861,118,Under Warranty,11570,6452,145309
CUST00003,Qatari,Fleet,Low,89,0.43,Lexus,RX350,Platinum,2023,V8,Hybrid,Gray,410280,2022-03-25,Fleet Sales,1,406177.2,Bank Loan,263355,157,Fast-Moving,0.12,56389,3580,City,2023-08-21,2,2278,114,Under Warranty,5856,6156,516980
CUST00004,Qatari,Individual,Medium,79,0.18,Lexus,LX600,Base,2021,V6,Petrol,White,190698,2023-06-05,Online,2,186884.04,Lease,94661,83,Slow-Moving,0.22,110756,1030,City,2024-07-17,3,3707,102,Out of Warranty,21371,3350,500025
CUST00005,Jordanian,Corporate,High,68,0.23,Toyota,Land Cruiser,Base,2023,V6,Hybrid,Black,395844,2023-07-27,Online,7,368134.92,Lease,279854,126,Medium-Moving,0.21,51116,5563,Mixed,2024-02-20,2,3087,92,Out of Warranty,18369,29,463014
CUST00006,Egyptian,Fleet,High,44,0.26,Mercedes,E-Class,Mid,2022,V6,Petrol,Black,353064,2024-01-17,Showroom,1,349533.36,Lease,56720,88,Fast-Moving,0.15,60810,4424,Mixed,2024-03-01,4,1204,90,Under Warranty,19584,13187,200639
CUST00007,Indian,Fleet,High,86,0.2,Toyota,Land Cruiser,Mid,2021,V8,Petrol,Blue,268247,2022-12-23,Showroom,1,265564.53,Lease,143850,89,Slow-Moving,0.16,58835,4689,Highway,2023-08-13,2,2910,106,Out of Warranty,5278,10809,343021
CUST00008,Jordanian,Fleet,High,98,0.13,Nissan,Altima,Base,2022,V8,Hybrid,White,297416,2023-05-04,Showroom,6,279571.04,Lease,90968,70,Fast-Moving,0.22,60840,2520,Mixed,2024-09-26,0,2671,33,Under Warranty,8006,7598,573609
CUST00009,Pakistani,Individual,Medium,68,0.42,BMW,X5,Premium,2022,Inline-4,Petrol,Gray,225979,2022-11-25,Showroom,6,212420.26,Lease,153120,100,Medium-Moving,0.16,110151,4146,City,2024-05-28,8,1617,43,Out of Warranty,5115,14331,237292
CUST00010,British,Fleet,Medium,67,0.2,Mercedes,G-Class,Mid,2023,Inline-4,Hybrid,Gray,268002,2022-07-13,Showroom,3,259961.94,Cash,39780,147,Fast-Moving,0.12,81421,734,Highway,2022-09-19,0,1114,85,Under Warranty,4422,12032,522517
CUST00011,Egyptian,Fleet,Low,53,0.06,Toyota,Camry,Platinum,2022,V8,Petrol,Blue,309784,2024-03-30,Online,4,297392.64,Cash,106799,113,Fast-Moving,0.21,36447,1913,City,2025-04-26,4,3970,74,Out of Warranty,20717,6060,338759
CUST00012,Filipino,Fleet,Low,96,0.14,Lexus,LX600,Mid,2023,Inline-4,Petrol,White,285727,2023-07-24,Showroom,1,282869.73,Bank Loan,177370,116,Slow-Moving,0.13,15288,4539,Highway,2024-09-30,7,2275,60,Under Warranty,18161,1952,166144
CUST00013,Egyptian,Fleet,Medium,95,0.36,Lexus,RX350,Base,2024,Inline-4,Petrol,Blue,207615,2022-12-23,Online,1,205538.85,Bank Loan,152119,68,Medium-Moving,0.15,51874,4385,Mixed,2023-08-10,8,3203,111,Under Warranty,10565,1942,270349
CUST00014,Filipino,Individual,Low,91,0.27,Lexus,RX350,Base,2022,V8,Hybrid,Blue,113011,2022-03-23,Showroom,2,110750.78,Cash,80933,148,Slow-Moving,0.16,23014,2544,Highway,2022-09-20,1,3812,20,Out of Warranty,16383,5923,253105
CUST00015,Pakistani,Individual,Medium,49,0.19,Lexus,LX600,Base,2021,Inline-4,Hybrid,Silver,357072,2022-11-08,Fleet Sales,7,332076.96,Bank Loan,134707,33,Slow-Moving,0.11,93028,4286,Highway,2024-05-16,0,819,114,Under Warranty,13062,3320,370305
CUST00016,British,Fleet,Low,53,0.24,BMW,X5,Platinum,2022,Inline-4,Petrol,Black,121873,2023-07-18,Online,5,115779.35,Cash,3271,170,Slow-Moving,0.1,116548,4357,City,2023-10-03,8,2264,51,Under Warranty,10623,8025,568737
CUST00017,Jordanian,Individual,High,63,0.12,Toyota,Land Cruiser,Mid,2023,V8,Hybrid,Silver,92711,2022-12-23,Online,6,87148.34,Bank Loan,5632,100,Slow-Moving,0.08,37422,1411,Highway,2024-04-08,3,3966,25,Out of Warranty,7421,1768,545147
CUST00018,Egyptian,Fleet,Medium,88,0.3,Mercedes,G-Class,Mid,2022,Inline-4,Hybrid,Silver,194163,2022-12-12,Online,3,188338.11,Cash,18407,56,Fast-Moving,0.08,22249,5238,Mixed,2024-02-09,0,3626,24,Under Warranty,16583,13868,247109
CUST00019,British,Corporate,High,91,0.42,BMW,X7,Platinum,2023,V6,Petrol,Silver,80488,2022-10-25,Online,4,77268.48,Lease,57838,148,Medium-Moving,0.18,99899,3437,City,2024-08-28,0,2713,9,Out of Warranty,16993,8051,553595
CUST00020,Filipino,Fleet,High,67,0.33,BMW,X7,Premium,2021,Inline-4,Hybrid,Gray,440132,2022-11-27,Showroom,8,404921.44,Cash,232542,171,Fast-Moving,0.13,104560,2892,City,2023-01-19,2,925,34,Under Warranty,9544,11127,244231
CUST00021,British,Corporate,High,60,0.06,Nissan,Altima,Base,2023,V6,Petrol,White,436642,2022-08-05,Showroom,5,414809.9,Cash,312298,96,Fast-Moving,0.1,52342,2528,City,2023-03-23,0,1921,6,Under Warranty,22829,6581,489389
CUST00022,Filipino,Corporate,Medium,89,0.06,BMW,X7,Platinum,2023,V6,Petrol,Black,381289,2023-12-26,Showroom,4,366037.44,Bank Loan,8814,13,Slow-Moving,0.24,19660,4265,Highway,2024-07-07,3,1498,108,Under Warranty,16142,5662,243054
CUST00023,Filipino,Fleet,High,66,0.42,Nissan,Altima,Premium,2022,Inline-4,Hybrid,Black,320639,2023-03-28,Fleet Sales,0,320639.0,Cash,150121,18,Medium-Moving,0.24,119631,5860,Mixed,2024-01-21,2,3809,58,Out of Warranty,16043,311,510117
