customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value,days_since_purchase,days_since_last_service,vehicle_age_years,is_under_warranty,revenue_per_service,total_revenue,customer_segment,segment_name,will_churn,brand_encoded,customer_type_encoded,income_band_encoded,churn_prediction,churn_probability,predicted_clv,clv_growth_potential,service_overdue,service_due_soon
CUST00001,Jordanian,Individual,High,46,0.41,Mercedes,G-Class,Mid,2022,V8,Hybrid,Black,221402,2022-10-19,Showroom,4,212545.92,Lease,90466,25,Medium-Moving,0.16,115889,2173,Mixed,2023-01-29,0,1795,55,Under Warranty,3259,6563,329483,1177,1075,4,1,3259.0,9822,0,Budget Conscious,1,2,2,0,0,0.19739796,333522.95943616383,4039.95943616383,False,False
CUST00002,Filipino,Corporate,Medium,86,0.36,BMW,X5,Premium,2024,V8,Petrol,Black,337537,2023-10-11,Showroom,1,334161.63,Cash,221782,164,Medium-Moving,0.11,79467,4187,Highway,2025-04-10,8,2861,118,Under Warranty,11570,6452,145309,820,273,2,1,1285.5555555555557,18022,4,VIP Elite,1,0,0,2,0,0.22465852,341015.62315972755,195706.62315972755,False,False
CUST00003,Qatari,Fleet,Low,89,0.43,Lexus,RX350,Platinum,2023,V8,Hybrid,Gray,410280,2022-03-25,Fleet Sales,1,406177.2,Bank Loan,263355,157,Fast-Moving,0.12,56389,3580,City,2023-08-21,2,2278,114,Under Warranty,5856,6156,516980,1385,871,3,1,1952.0,12012,4,VIP Elite,1,1,1,1,0,0.3223065,329715.41675752087,-187264.58324247913,False,False
CUST00004,Qatari,Individual,Medium,79,0.18,Lexus,LX600,Base,2021,V6,Petrol,White,190698,2023-06-05,Online,2,186884.04,Lease,94661,83,Slow-Moving,0.22,110756,1030,City,2024-07-17,3,3707,102,Out of Warranty,21371,3350,500025,948,540,5,0,5342.75,24721,3,Service Champions,0,1,2,2,0,0.23926462,334010.70055470883,-166014.29944529117,False,False
CUST00005,Jordanian,Corporate,High,68,0.23,Toyota,Land Cruiser,Base,2023,V6,Hybrid,Black,395844,2023-07-27,Online,7,368134.92,Lease,279854,126,Medium-Moving,0.21,51116,5563,Mixed,2024-02-20,2,3087,92,Out of Warranty,18369,29,463014,896,688,3,0,6123.0,18398,1,Premium Loyalists,0,4,0,0,0,0.2726627,370812.795414148,-92201.20458585199,False,False
CUST00006,Egyptian,Fleet,High,44,0.26,Mercedes,E-Class,Mid,2022,V6,Petrol,Black,353064,2024-01-17,Showroom,1,349533.36,Lease,56720,88,Fast-Moving,0.15,60810,4424,Mixed,2024-03-01,4,1204,90,Under Warranty,19584,13187,200639,722,678,4,1,3916.8,32771,1,Premium Loyalists,0,2,1,0,0,0.2521896,327522.1689729061,126883.16897290607,False,False
CUST00007,Indian,Fleet,High,86,0.2,Toyota,Land Cruiser,Mid,2021,V8,Petrol,Blue,268247,2022-12-23,Showroom,1,265564.53,Lease,143850,89,Slow-Moving,0.16,58835,4689,Highway,2023-08-13,2,2910,106,Out of Warranty,5278,10809,343021,1112,879,5,0,1759.3333333333333,16087,2,High-Risk Churners,0,4,1,0,0,0.2167605,351403.1783618027,8382.178361802711,False,False
CUST00008,Jordanian,Fleet,High,98,0.13,Nissan,Altima,Base,2022,V8,Hybrid,White,297416,2023-05-04,Showroom,6,279571.04,Lease,90968,70,Fast-Moving,0.22,60840,2520,Mixed,2024-09-26,0,2671,33,Under Warranty,8006,7598,573609,980,469,4,1,8006.0,15604,3,Service Champions,0,3,1,0,0,0.20569362,362767.46385565435,-210841.53614434565,False,False
CUST00009,Pakistani,Individual,Medium,68,0.42,BMW,X5,Premium,2022,Inline-4,Petrol,Gray,225979,2022-11-25,Showroom,6,212420.26,Lease,153120,100,Medium-Moving,0.16,110151,4146,City,2024-05-28,8,1617,43,Out of Warranty,5115,14331,237292,1140,590,4,0,568.3333333333334,19446,1,Premium Loyalists,1,0,2,2,0,0.25271204,343466.3862702726,106174.3862702726,False,False
CUST00010,British,Fleet,Medium,67,0.2,Mercedes,G-Class,Mid,2023,Inline-4,Hybrid,Gray,268002,2022-07-13,Showroom,3,259961.94,Cash,39780,147,Fast-Moving,0.12,81421,734,Highway,2022-09-19,0,1114,85,Under Warranty,4422,12032,522517,1275,1207,3,1,4422.0,16454,0,Budget Conscious,0,2,1,2,0,0.22370166,334906.66413810087,-187610.33586189913,False,False
CUST00011,Egyptian,Fleet,Low,53,0.06,Toyota,Camry,Platinum,2022,V8,Petrol,Blue,309784,2024-03-30,Online,4,297392.64,Cash,106799,113,Fast-Moving,0.21,36447,1913,City,2025-04-26,4,3970,74,Out of Warranty,20717,6060,338759,649,257,4,0,4143.4,26777,0,Budget Conscious,0,4,1,1,0,0.20921229,388445.4426137346,49686.44261373457,False,False
CUST00012,Filipino,Fleet,Low,96,0.14,Lexus,LX600,Mid,2023,Inline-4,Petrol,White,285727,2023-07-24,Showroom,1,282869.73,Bank Loan,177370,116,Slow-Moving,0.13,15288,4539,Highway,2024-09-30,7,2275,60,Under Warranty,18161,1952,166144,899,465,3,1,2270.125,20113,2,High-Risk Churners,0,1,1,1,0,0.22324345,333015.44259097526,166871.44259097526,False,False
CUST00013,Egyptian,Fleet,Medium,95,0.36,Lexus,RX350,Base,2024,Inline-4,Petrol,Blue,207615,2022-12-23,Online,1,205538.85,Bank Loan,152119,68,Medium-Moving,0.15,51874,4385,Mixed,2023-08-10,8,3203,111,Under Warranty,10565,1942,270349,1112,882,2,1,1173.888888888889,12507,4,VIP Elite,1,1,1,2,0,0.26543447,394995.9662385521,124646.96623855212,False,False
CUST00014,Filipino,Individual,Low,91,0.27,Lexus,RX350,Base,2022,V8,Hybrid,Blue,113011,2022-03-23,Showroom,2,110750.78,Cash,80933,148,Slow-Moving,0.16,23014,2544,Highway,2022-09-20,1,3812,20,Out of Warranty,16383,5923,253105,1387,1206,4,0,8191.5,22306,4,VIP Elite,0,1,2,1,0,0.1385523,343591.41683330137,90486.41683330137,False,True
CUST00015,Pakistani,Individual,Medium,49,0.19,Lexus,LX600,Base,2021,Inline-4,Hybrid,Silver,357072,2022-11-08,Fleet Sales,7,332076.96,Bank Loan,134707,33,Slow-Moving,0.11,93028,4286,Highway,2024-05-16,0,819,114,Under Warranty,13062,3320,370305,1157,602,5,1,13062.0,16382,1,Premium Loyalists,0,1,2,2,0,0.26886427,430978.1990330885,60673.19903308852,False,False
CUST00016,British,Fleet,Low,53,0.24,BMW,X5,Platinum,2022,Inline-4,Petrol,Black,121873,2023-07-18,Online,5,115779.35,Cash,3271,170,Slow-Moving,0.1,116548,4357,City,2023-10-03,8,2264,51,Under Warranty,10623,8025,568737,905,828,4,1,1180.3333333333333,18648,1,Premium Loyalists,0,0,1,1,0,0.22401318,365273.7085115115,-203463.2914884885,False,False
CUST00017,Jordanian,Individual,High,63,0.12,Toyota,Land Cruiser,Mid,2023,V8,Hybrid,Silver,92711,2022-12-23,Online,6,87148.34,Bank Loan,5632,100,Slow-Moving,0.08,37422,1411,Highway,2024-04-08,3,3966,25,Out of Warranty,7421,1768,545147,1112,640,3,0,1855.25,9189,0,Budget Conscious,0,4,2,0,0,0.21636264,398567.4951496843,-146579.5048503157,False,True
