customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value,year,car_price_qar,monthly_sales,dealer_rating,promotion_active,transmission,market_demand_index,maintenance_cost_qar,sale_month,sale_year,auto_loan_interest_rate,financing_subsidy_index,petrol_price_per_liter,diesel_price_per_liter,electricity_tariff_kwh,fuel_price_trend_flag,oem_supply_constraint_index,shipping_lead_time_days,model_supply_cap_flag,competitor_price_index,competitor_discount_intensity,new_competitor_launch_flag,ramadan_eid_flag,year_end_promo_flag,model_year_changeover_flag,public_holiday_flag,used_car_price_index,trade_in_value_index,auction_clearance_rate,avg_temperature_celsius,extreme_heat_days,sandstorm_frequency,rainfall_mm
CUST00183,British,Fleet,Medium,50,0.28,Mercedes,E-Class,Mid,2021,Inline-4,Diesel,Blue,312616,2022-05-16,Online,8,287606.72,Lease,196368,67,Slow-Moving,0.1,26989,1081,City,2023-08-04,7,1413,22,Under Warranty,24666,8761,221692,2018,119153,34,4.3,0,Automatic,0.95,5875,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00217,Qatari,Individual,High,92,0.19,Nissan,Patrol,Platinum,2022,V8,Hybrid,White,362546,2022-12-01,Fleet Sales,0,362546.0,Cash,37377,61,Fast-Moving,0.18,101553,4433,City,2023-04-22,3,2942,16,Under Warranty,4355,5587,495134,2016,259757,31,3.7,0,Automatic,0.79,7090,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00316,Indian,Individual,High,100,0.35,Lexus,LX600,Mid,2023,V8,Electric,Black,279149,2023-08-04,Online,4,267983.04,Cash,115859,156,Medium-Moving,0.14,8969,4066,City,2025-04-30,7,2924,80,Out of Warranty,5843,768,439153,2015,253961,18,4.2,0,Automatic,1.0,5138,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00337,Qatari,Individual,Low,63,0.14,Nissan,Altima,Premium,2022,Inline-4,Petrol,Gray,242560,2024-03-09,Showroom,2,237708.8,Lease,88191,12,Slow-Moving,0.18,90504,3853,Highway,2024-04-15,6,3491,53,Out of Warranty,1519,9089,207485,2015,44399,10,4.9,0,Automatic,1.25,8353,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00372,Filipino,Fleet,Medium,90,0.3,Toyota,Camry,Base,2022,V6,Electric,Gray,123011,2024-03-24,Showroom,6,115630.34,Bank Loan,24885,142,Medium-Moving,0.24,31678,4583,City,2026-02-08,8,1114,68,Under Warranty,23857,10179,200739,2018,77678,24,3.7,1,Automatic,0.97,5578,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00616,Indian,Corporate,Low,79,0.35,Lexus,LX600,Base,2022,V8,Electric,Blue,252724,2023-11-27,Fleet Sales,1,250196.76,Lease,56227,162,Fast-Moving,0.13,94784,5167,Mixed,2024-03-09,7,937,93,Out of Warranty,15796,525,278013,2021,216762,39,4.1,0,Automatic,0.9,3388,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00825,Indian,Corporate,Low,41,0.36,Nissan,Altima,Base,2022,Inline-4,Diesel,White,267697,2024-03-23,Online,1,265020.03,Cash,122415,79,Slow-Moving,0.2,39038,2552,Highway,2024-09-07,5,1491,30,Out of Warranty,1225,11297,279208,2020,204564,9,4.5,0,Manual,1.11,3365,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST00850,Jordanian,Individual,Low,93,0.19,BMW,X7,Premium,2022,Inline-4,Petrol,Gray,281457,2023-09-29,Online,0,281457.0,Bank Loan,87151,102,Fast-Moving,0.16,77686,4791,Mixed,2024-11-19,7,1402,40,Under Warranty,11514,14321,330906,2016,348811,2,4.5,0,Automatic,0.71,5376,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01058,Jordanian,Fleet,High,98,0.13,Mercedes,E-Class,Base,2022,Inline-4,Petrol,White,151998,2022-06-29,Fleet Sales,8,139838.16,Cash,89174,83,Fast-Moving,0.18,55226,3789,City,2023-02-07,4,1160,101,Out of Warranty,16862,9080,378888,2017,133938,44,3.9,0,Automatic,0.95,2364,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01196,British,Fleet,Medium,74,0.41,Mercedes,G-Class,Base,2024,V6,Electric,White,329473,2022-01-05,Online,0,329473.0,Cash,74827,137,Fast-Moving,0.11,48780,5226,Mixed,2023-09-12,0,1378,18,Out of Warranty,16531,87,499293,2015,344150,5,4.6,0,Manual,0.75,2722,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01205,British,Individual,High,95,0.2,Mercedes,E-Class,Platinum,2024,V8,Electric,White,406574,2024-01-21,Showroom,2,398442.52,Lease,227434,54,Slow-Moving,0.24,76253,1258,City,2024-06-19,4,3631,32,Out of Warranty,11667,2695,223677,2017,259589,3,4.0,0,Automatic,1.29,7620,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01267,Indian,Fleet,High,71,0.14,Lexus,RX350,Platinum,2021,Inline-4,Petrol,Black,354655,2023-10-27,Online,5,336922.25,Lease,198941,112,Fast-Moving,0.21,11602,3181,Mixed,2025-03-14,3,3065,62,Out of Warranty,4915,2904,451960,2016,163279,20,3.7,0,Automatic,1.1,6372,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01348,Egyptian,Fleet,Low,76,0.3,BMW,X7,Base,2021,V8,Hybrid,Black,325844,2022-08-29,Online,2,319327.12,Cash,211671,66,Fast-Moving,0.14,62348,3739,City,2023-11-11,7,3753,112,Out of Warranty,16895,14642,159095,2018,56213,38,3.9,0,Automatic,0.99,2338,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01632,Jordanian,Corporate,High,52,0.3,Toyota,Land Cruiser,Premium,2023,Inline-4,Electric,White,326642,2023-03-25,Fleet Sales,0,326642.0,Bank Loan,238956,34,Slow-Moving,0.09,28996,3456,City,2023-10-05,5,3382,35,Under Warranty,20959,2264,415360,2019,326946,42,4.8,0,Manual,0.93,8564,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01710,Filipino,Fleet,Low,77,0.3,Lexus,LX600,Base,2022,V8,Diesel,Black,364572,2023-02-06,Showroom,3,353634.84,Lease,120241,10,Fast-Moving,0.14,43775,1382,City,2023-05-24,3,2353,101,Out of Warranty,17579,1825,332710,2018,68717,4,4.3,1,Automatic,1.12,2225,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01924,Qatari,Corporate,Low,42,0.28,Mercedes,E-Class,Platinum,2023,V6,Petrol,Blue,282470,2022-07-26,Showroom,1,279645.3,Cash,144867,24,Medium-Moving,0.19,102610,2532,Highway,2024-01-16,0,841,74,Out of Warranty,8899,4782,401237,2019,53013,16,4.6,0,Automatic,0.83,4436,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01925,Indian,Individual,Medium,79,0.11,BMW,X5,Platinum,2024,V6,Diesel,White,264638,2023-11-11,Showroom,7,246113.34,Cash,130104,51,Fast-Moving,0.13,13810,3308,Mixed,2024-01-15,4,2840,35,Out of Warranty,20807,11070,338507,2015,56446,10,4.0,0,Automatic,1.13,1218,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST01944,Pakistani,Fleet,Low,40,0.44,BMW,X7,Base,2024,V8,Hybrid,Blue,92008,2023-03-28,Online,5,87407.6,Cash,45125,179,Medium-Moving,0.14,14999,2278,Mixed,2023-08-24,7,1396,28,Out of Warranty,1414,2952,504133,2025,109442,44,4.1,0,Automatic,1.12,2751,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02040,Filipino,Fleet,High,56,0.24,Lexus,RX350,Premium,2024,Inline-4,Diesel,Black,432763,2023-10-08,Fleet Sales,3,419780.11,Bank Loan,211125,75,Fast-Moving,0.15,78841,5056,Highway,2025-04-09,3,3897,84,Under Warranty,23263,4319,169830,2017,128708,29,4.0,1,Automatic,1.01,5986,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02049,Filipino,Corporate,Medium,83,0.42,Nissan,Patrol,Platinum,2023,V6,Hybrid,Black,417213,2022-06-28,Online,6,392180.22,Bank Loan,129132,92,Medium-Moving,0.2,36060,953,City,2022-12-24,3,1162,71,Out of Warranty,21652,8920,419448,2017,224060,16,4.3,0,Automatic,0.67,3653,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02292,Pakistani,Corporate,Medium,69,0.09,Mercedes,G-Class,Platinum,2021,V6,Electric,White,296661,2023-05-16,Online,7,275894.73,Bank Loan,160299,11,Medium-Moving,0.15,16704,5764,Mixed,2024-05-22,8,1168,108,Under Warranty,16185,14268,108244,2018,229760,32,4.0,0,Automatic,0.81,5863,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02529,Egyptian,Individual,Low,89,0.28,Toyota,Corolla,Premium,2022,V8,Petrol,Silver,135857,2023-08-13,Showroom,4,130422.72,Bank Loan,66342,153,Slow-Moving,0.11,39528,852,Mixed,2023-11-30,3,972,7,Under Warranty,16786,14840,598780,2023,176753,8,3.8,0,Automatic,1.18,5735,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02575,Indian,Individual,High,95,0.09,Mercedes,E-Class,Premium,2022,Inline-4,Diesel,Gray,277627,2024-06-02,Online,2,272074.46,Lease,2658,25,Fast-Moving,0.17,100452,4275,Mixed,2026-04-14,7,2285,89,Out of Warranty,22366,9563,346333,2021,118697,10,5.0,0,Automatic,0.93,4206,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02607,Indian,Individual,Low,89,0.11,Lexus,LX600,Premium,2021,V8,Electric,White,179401,2023-12-28,Showroom,1,177606.99,Lease,78238,120,Fast-Moving,0.1,111817,2316,Mixed,2024-08-14,2,1267,101,Out of Warranty,4785,14429,470996,2024,339604,34,4.6,0,Automatic,0.97,8032,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST02868,Indian,Individual,Medium,78,0.2,Lexus,RX350,Base,2023,V6,Hybrid,Blue,277129,2023-03-21,Showroom,6,260501.26,Lease,32958,62,Fast-Moving,0.13,5965,563,Highway,2023-07-11,2,1398,66,Under Warranty,8141,12225,248951,2020,156284,18,4.0,1,Automatic,1.28,7646,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST03017,Qatari,Corporate,Low,89,0.1,Mercedes,E-Class,Mid,2021,Inline-4,Hybrid,Gray,103437,2024-05-06,Showroom,5,98265.15,Lease,47544,76,Slow-Moving,0.12,66951,551,City,2024-11-14,8,2375,54,Under Warranty,1266,5686,369843,2025,318453,24,4.7,0,Automatic,0.65,1568,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST03090,Qatari,Corporate,Low,85,0.26,Mercedes,G-Class,Premium,2024,Inline-4,Electric,Black,209068,2022-03-15,Showroom,4,200705.28,Lease,70348,132,Slow-Moving,0.23,119195,3799,Highway,2023-10-12,5,2660,119,Under Warranty,16069,9362,544557,2023,300880,40,3.5,0,Automatic,1.12,3869,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST03097,Jordanian,Corporate,Low,92,0.41,Toyota,Land Cruiser,Mid,2024,V8,Diesel,Blue,269897,2023-06-03,Showroom,1,267198.03,Lease,165537,24,Medium-Moving,0.18,55731,704,Mixed,2023-09-28,7,2910,72,Out of Warranty,9663,1197,556492,2015,333964,16,4.8,0,Manual,1.25,1063,1,2019,,,,,,,,,,,,,,,,,,,,,,,
CUST03189,Qatari,Individual,Low,43,0.08,BMW,X7,Premium,2023,V8,Hybrid,Blue,429974,2023-09-27,Online,4,412775.04,Lease,50835,30,Fast-Moving,0.21,44560,2035,Mixed,2023-11-07,5,2404,101,Under Warranty,21291,3048,371143,2019,184787,21,3.8,0,Automatic,0.78,6717,1,2019,,,,,,,,,,,,,,,,,,,,,,,
